Company,Year,Market Cap,Revenue,Total Assets
SAUDI ARAMCO,2023,$2.248 T,$535.54 B,$663.34 B
SAUDI ARAMCO,2022,$1.881 T,$604.17 B,$576.72 B
SAUDI ARAMCO,2021,$1.908 T,$400.74 B,$510.78 B
SAUDI ARAMCO,2020,$2.053 T,$229.97 B,$398.60 B
SAUDI ARAMCO,2019,$1.880 T,$331.19 B,$358.83 B
SAUDI ARAMCO,TotalEnergiesTTE,$152.22 B,$110.59 B,$294.01 B
SAUDI ARAMCO,2023,$2.248 T,$535.54 B,$663.34 B
SAUDI ARAMCO,2022,$1.881 T,$604.17 B,$576.72 B
SAUDI ARAMCO,2021,$1.908 T,$400.74 B,$510.78 B
SAUDI ARAMCO,2020,$2.053 T,$229.97 B,$398.60 B
SAUDI ARAMCO,2019,$1.880 T,$331.19 B,$358.83 B
SAUDI ARAMCO,TotalEnergiesTTE,$152.22 B,$110.59 B,$294.01 B
SAUDI ARAMCO,2023,$2.248 T,$535.54 B,$663.34 B
SAUDI ARAMCO,2022,$1.881 T,$604.17 B,$576.72 B
SAUDI ARAMCO,2021,$1.908 T,$400.74 B,$510.78 B
SAUDI ARAMCO,2020,$2.053 T,$229.97 B,$398.60 B
SAUDI ARAMCO,2019,$1.880 T,$331.19 B,$358.83 B
SAUDI ARAMCO,TotalEnergiesTTE,$152.22 B,$110.59 B,$294.01 B
SAUDI ARAMCO,2023,$2.248 T,$535.54 B,$663.34 B
SAUDI ARAMCO,2022,$1.881 T,$604.17 B,$576.72 B
SAUDI ARAMCO,2021,$1.908 T,$400.74 B,$510.78 B
SAUDI ARAMCO,2020,$2.053 T,$229.97 B,$398.60 B
SAUDI ARAMCO,2019,$1.880 T,$331.19 B,$358.83 B
SAUDI ARAMCO,TotalEnergiesTTE,$152.22 B,$110.59 B,$294.01 B
SAUDI ARAMCO,2023,$2.248 T,$535.54 B,$663.34 B
SAUDI ARAMCO,2022,$1.881 T,$604.17 B,$576.72 B
SAUDI ARAMCO,2021,$1.908 T,$400.74 B,$510.78 B
SAUDI ARAMCO,2020,$2.053 T,$229.97 B,$398.60 B
