COMPANY NAME,REPORTING YEAR,NITROGEN,SULPHUR,AIR CADMIUM,AIR MERCURY,ANNUAL REVENUE,HEADCOUNT,SCOPE 1 EMISSIONS TOTAL,SCOPE 2 EMISSION TOTAL,CONSUMPTION TOTAL ENERGY,COAL,DIESEL,MOTOR GASOLINE,NATURAL GAS,TOTAL WATER DISCHARGE OR WASTEWATER GENERATION,CHEMICAL OXYGEN DEMAND,TOTAL WASTE GENERATED,DISPOSED NON HAZARDOUS WASTE,FLY ASH,CONSTRUCTION DEBRIS,RECOVERED OR RECYCLED TOTAL WASTE,OVERBURDEN IN MINING,WASTE INCINERATED,WASTE TO LANDFILL,TOTAL HAZARDOUS WASTE GENERATED,TOTAL NON HAZARDOUS WASTE GENERATED,WASTE COMPOSTED,RECOVERED HAZARDOUS WASTE,RECOVERED NON HAZARDOUS WASTE,DISPOSED TOTAL WASTE,DISPOSED HAZARDOUS WASTE,WITHDRAWAL TOTAL WATER,RECYCLED WATER OR REUSE WATER OR TREATED WATER,CONSUMPTION TOTAL WATER,WITHDRAWAL TOTAL FRESHWATER
Samsung Electronics Co,2016,635,196,,,174211.0009,308745,2554000,9046000,21073000,,,,,81716000,1639,1078310,,,,1022690,,26622,29001,349404,728905,,,,,,,48602000,104253000,
Samsung Electronics Co,2017,685,69,,,212024.2078,320671,3668000,9917000,23419000,,,,,95919000,1771,1146810,,,,1088980,,32301,25532,386349,760463,,,,,,,56154000,120618000,
Samsung Electronics Co,2018,616,55,,,221588.2162,309630,4855000,10318000,26028000,,,,,107699000,2407,1210520,,,,1157620,,31377,21524,396690,813831,,,,,,,62371000,134230000,
Samsung Electronics Co,2019,661,13,,,197683.9559,287439,5067000,8733000,26899000,,,,,108460000,1047,1099197,,,,1045122,,30664,23410,321627,777570,,,,,,,68555000,134479000,
Samsung Electronics Co,2020,652,6,,,200606.179,267937,5726000,9079000,29024000,,,,,109201000,1033,1181741,,,,1125037,,30146,26558,345866,835875,,,,,,,70181000,142294000,
Samsung Electronics Co,2021,717,19,,,244427.2226,266673,7604000,9796000,32322000,,,,,130955000,906,1324972,,,,1268985,,31293,24694,421219,903753,,,,,,,93949000,163660000,
SAUDI ARAMCO,2016,,,,,,65282,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAUDI ARAMCO,2017,,,,,264176,70762,42037852,14267101,,,,,,,,,,,,,,,,,,,,,,,,,,
SAUDI ARAMCO,2018,,202000,,,359204,67947,46600000,14700000,,,,,,,,,,,,,,,,,,,,,,,,,,30500000
SAUDI ARAMCO,2019,,204000,,,329809,69867,52000000,19000000,,,,,,,,232000,,,,,,,,,,,,,,,,,,36200000
SAUDI ARAMCO,2020,,163000,,,229891,66800,50200000,18100000,,,,,,,,231000,,,,,,,,,,,,,,,,,,32900000
SAUDI ARAMCO,2021,,141000,,,400468,68493,52300000,15500000,,,,,,,,158000,,,,,,,,,,,,,,,,,,33800000
SOFTBANK GROUP CORP,2016,,,,,81639.30467,63591,11456,785893,,,,,44350.24,,,,,,,,,,,,,,,,,,,,,
SOFTBANK GROUP CORP,2017,,,,,79355.53041,68402,11386,711128,,,,,48079.24,,,,,,,,,,,,,,,,,,,,,
SOFTBANK GROUP CORP,2018,,,,,82942.41695,74952,11456,682497,,,,,47045.064,,,,,,,,,,,,,,,,,,,,,
SOFTBANK GROUP CORP,2019,,,,,88100.49979,76866,14454,760305,,,,,45284.976,,,,,,,,,,,,,,,,,,,,,
SOFTBANK GROUP CORP,2020,,,,,57261.59099,80909,15803,760301,,,,,44827.552,,,,,,,,,,,,,,,,,,,,,
