Year,COMPANY_NAME,Country,NUMBER_OF_EMPLOYEES,SCOPE_1,SCOPE_2,SCOPE 1+2,SCOPE 3,ENERGY_CONSUMPTION_TOTAL,TOTAL_WASTE_GENERATED,ISIC Division
2016,ABBVIE INC,United States,28939,305000.0,305000.0,610000.0,Not reported,2085000.0,35700.0,Human health and social work activities
2017,ABBVIE INC,United States,29777,299000.0,284000.0,584000.0,Not reported,2051000.0,32800.0,Human health and social work activities
2018,ABBVIE INC,United States,30612,315000.0,271000.0,585000.0,Not reported,2146000.0,32000.0,Human health and social work activities
2019,ABBVIE INC,United States,30776,315000.0,250000.0,564000.0,Not reported,2112000.0,33400.0,Human health and social work activities
2020,ABBVIE INC,United States,47000,265000.0,243000.0,508000.0,Not reported,1978000.0,30600.0,Human health and social work activities
2021,ABBVIE INC,United States,50000,367954.0,256708.0,624662.0,Not reported,2654868.0,36900.0,Human health and social work activities
2016,ALLIANZ,Germany,42167,56856.0,417373.0,474000.0,Reported,2696330.0,21438.0,Financial and insurance activities
2017,ALLIANZ,Germany,140553,51838.0,425376.0,477214.0,Reported,2783178.0,21474.0,Financial and insurance activities
2018,ALLIANZ,Germany,142460,46734.0,398313.0,445047.0,Reported,2636398.0,19575.0,Financial and insurance activities
2019,ALLIANZ,Germany,147268,42011.0,281548.0,323559.0,Reported,2536314.0,19396.0,Financial and insurance activities
2020,ALLIANZ,Germany,150269,28714.0,366878.0,395592.0,Reported,2120288.0,14395.0,Financial and insurance activities
2021,ALLIANZ,Germany,155411,28699.0,138746.0,167445.0,Reported,1943248.0,12064.0,Financial and insurance activities
2021,ALPHABET INC-A,United States,156500,45073.0,1823132.0,1868205.0,Reported,18571659.0,28153.0,Information and communication
2016,ALPHABET INC-A,United States,72053,66218.0,4421197.0,4487415.0,Reported,6513720.0,43058.0,Information and communication
2017,ALPHABET INC-A,United States,80110,66549.0,3810726.0,3877275.0,Reported,8029410.0,53363.0,Information and communication
2018,ALPHABET INC-A,United States,98771,63521.0,5028922.0,5092443.0,Reported,10572500.0,57113.0,Information and communication
2019,ALPHABET INC-A,United States,118899,66686.0,5911216.0,5977902.0,Reported,12749500.0,51617.0,Information and communication
2020,ALPHABET INC-A,United States,135301,38694.0,6776510.0,6815204.0,Reported,15439538.0,28864.0,Information and communication
2016,AMAZON.COM INC,United States,341400,2272176.0,1818190.0,4090366.0,Not reported,,,Wholesale and retail trade; repair of motor vehicles and motorcycles
2017,AMAZON.COM INC,United States,566000,2971922.0,2378126.0,5350048.0,Not reported,,,Wholesale and retail trade; repair of motor vehicles and motorcycles
